"filename", "language", "JSON with Comments", "Markdown", "JavaScript", "JSON", "TypeScript", "TypeScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\taskCreate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 200, 0, 0, 2, 10, 212
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\teamMembers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 150, 0, 0, 0, 4, 154
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\loading\LoadingScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 2, 32
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\navbar\navbar.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 14, 1, 3, 18
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\navbar\navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 186, 0, 0, 11, 8, 205
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\reusable\TaskList\TaskList.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\reusable\TaskList\TaskList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 212, 0, 0, 1, 10, 223
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\reusable\ToggleSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 1, 4, 27
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\CalendarTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 5, 46
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\DailyLogsTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 5, 43
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\GoalsTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\HomeTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 152, 0, 0, 0, 6, 158
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\MarketWhispererTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 5, 56
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\NewsTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\TasksTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 76, 0, 0, 1, 8, 85
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\themeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 1, 5, 33
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 136, 0, 0, 0, 15, 151
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 7, 60
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 8
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 6, 56
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 6, 65
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 0, 9, 80
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 137, 0, 0, 0, 19, 156
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 116, 0, 0, 0, 13, 129
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 182, 0, 0, 0, 19, 201
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 7, 30
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 117, 0, 0, 0, 12, 129
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 32
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 6, 45
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 0, 13, 121
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 214, 0, 0, 0, 17, 231
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 0, 11, 115
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 8, 56
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 0, 13, 128
