"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "XML", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 8, 31
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\use-toast.ts", "TypeScript", 0, 0, 0, 0, 156, 0, 0, 0, 0, 33, 189
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\AccountInformation.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 31, 0, 5, 36
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\AccountInformation.tsx", "TypeScript JSX", 0, 0, 0, 480, 0, 0, 0, 0, 6, 48, 534
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\AccountSummary.tsx", "TypeScript JSX", 0, 0, 0, 176, 0, 0, 0, 0, 0, 11, 187
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\NegativeProgress.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\dayProfitView.tsx", "TypeScript JSX", 0, 0, 0, 67, 0, 0, 0, 0, 0, 7, 74
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\dynamicDemoChallengeCard.tsx", "TypeScript JSX", 0, 0, 0, 178, 0, 0, 0, 0, 0, 16, 194
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\dynamicDemoLiveCard.tsx", "TypeScript JSX", 0, 0, 0, 147, 0, 0, 0, 0, 0, 16, 163
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\overviewChart.tsx", "TypeScript JSX", 0, 0, 0, 116, 0, 0, 0, 0, 0, 4, 120
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\weekProfitView.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 8, 79
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountSwitcher.tsx", "TypeScript JSX", 0, 0, 0, 638, 0, 0, 0, 0, 0, 23, 661
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\CheckboxReactHookFormMultiple.tsx", "TypeScript JSX", 0, 0, 0, 119, 0, 0, 0, 0, 0, 8, 127
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\tables\columns.tsx", "TypeScript JSX", 0, 0, 0, 99, 0, 0, 0, 0, 0, 12, 111
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\tables\data-table.tsx", "TypeScript JSX", 0, 0, 0, 75, 0, 0, 0, 0, 0, 6, 81
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\userProfile.tsx", "TypeScript JSX", 0, 0, 0, 92, 0, 0, 0, 0, 0, 5, 97
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 112, 0, 0, 0, 0, 0, 9, 121
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\profile\components\form-test.tsx", "TypeScript JSX", 0, 0, 0, 294, 0, 0, 0, 0, 0, 13, 307
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\profile\components\form.tsx", "TypeScript JSX", 0, 0, 0, 153, 0, 0, 0, 0, 0, 25, 178
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\data\features.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 73, 1, 28, 102
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
