"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "XML", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\editor.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -54, 0, -8, -62
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\extractMeta.ts", "TypeScript", 0, 0, 0, 0, -51, 0, 0, 0, -1, -8, -60
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\fetchTrades.tsx", "TypeScript JSX", 0, 0, 0, -34, 0, 0, 0, 0, 0, -6, -40
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\CountryPieChart.tsx", "TypeScript JSX", 0, 0, 0, 108, 0, 0, 0, 0, 0, 10, 118
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\DailyHighImpact.tsx", "TypeScript JSX", 0, 0, 0, 106, 0, 0, 0, 0, 0, 9, 115
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\NewsComponent.tsx", "TypeScript JSX", 0, 0, 0, 141, 0, 0, 0, 0, 17, 8, 166
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\RefreshNewsContext.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\parentComponent.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 0, 8, 55
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\table\columns.tsx", "TypeScript JSX", 0, 0, 0, 240, 0, 0, 0, 0, 0, 26, 266
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\table\data-table.tsx", "TypeScript JSX", 0, 0, 0, 224, 0, 0, 0, 0, 2, 12, 238
